Unique-id,namea,OffTask,Avgright,Avgbug,Avghelp,Avgchoice,Avgstring,Avgnumber,Avgpoint,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avghelppct-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avgrecent8help,Avg recent5wrong,Avgmanywrong-up,AvgasymptoteA-up,AvgasymptoteB-up,help,Pknow-2,time,Avg_Time_Per_Action,Help_Ratio_rolling,Time_Diff,Percentage_Correct,Cumulative_Knowledge_Change,Total_Actions,Total_Correct_Actions,Help_Request_Frequency,Help_Request_Ratio,Avg_Time_Between_Actions
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,0,0.888286674,12,12.0,0.0,0.0,50.0,0.888286674,2,2.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,0,0.888286674,12,12.0,0.0,0.0,50.0,1.776573348,2,2.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,0,0.888286674,7,7.5,0.0,0.0,50.0,0.888286674,2,2.0,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,8,7.5,0.0,1.0,50.0,1.876750981,2,2.0,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,0,0.979706094,2,25.33333333333333,0.0,0.0,33.33,0.979706094,3,3.0,0,0.0,35.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,0,0.888286674,2,25.33333333333333,0.0,0.0,33.33,1.867992768,3,3.0,0,0.0,35.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,0,0.888286674,72,25.33333333333333,0.0,70.0,33.33,2.7562794420000003,3,3.0,0,0.0,35.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,1,3.5,0.0,0.0,13.89,0.988464307,6,4.999999998,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0.999899152,1,3.5,0.0,0.0,13.89,1.988363459,6,4.999999998,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0.735153049,3,3.5,0.0,2.0,13.89,2.723516508,6,4.999999998,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,5,3.5,0.0,2.0,13.89,3.711980815,6,4.999999998,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0.998916343,5,3.5,0.0,0.0,13.89,4.710897158,6,4.999999998,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,0,0.998916343,6,3.5,0.0,1.0,13.89,5.709813501,6,4.999999998,0,0.0,1.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,0,0.888286674,0,5.25,0.0,0.0,25.0,0.888286674,4,4.0,0,0.0,4.333333333333333
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,0,5.25,0.0,0.0,25.0,1.876750981,4,4.0,0,0.0,4.333333333333333
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,8,5.25,0.0,8.0,25.0,2.865215288,4,4.0,0,0.0,4.333333333333333
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1.0,0.0,0,0,0,0,0,0.0,5.25,-0.525769705,-1.829774821,-2.621184431,0.0,0.0,0,0.0,5.875,0.0,0.0,0,0.0,0.0,0,0,0,0.888286674,13,5.25,0.0,5.0,25.0,3.753501962,4,4.0,0,0.0,4.333333333333333
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-21,stuZgy46jl,N,0.5,0.0,0,0,0,0,0,0.0,13.0,0.177151243,-0.037686273,-1.197378843,0.5,0.5,0,0.5,14.5,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,7,13.0,0.0,0.0,25.0,0.988464307,2,1.0,0,0.0,12.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-21,stuZgy46jl,N,0.5,0.0,0,0,0,0,0,0.0,13.0,0.177151243,-0.037686273,-1.197378843,0.5,0.5,0,0.5,14.5,0.0,0.0,0,0.0,0.0,0,0,0,0.28609832,19,13.0,0.0,12.0,25.0,1.274562627,2,1.0,0,0.0,12.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-22,stuZxoxmpe,N,0.0,0.0,0,0,0,0,0,1.0,34.0,2.476222826,1.084494213,-0.021619918,1.0,37.0,0,27.0,6.75,2.0,4.0,0,3.0,1.0,0,0,0,0.735153049,34,34.0,0.0,0.0,0.0,0.735153049,1,0.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,0,0.998916343,0,5.2,0.0,0.0,20.0,0.998916343,5,5.0,0,0.0,2.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,0,0.999899152,0,5.2,0.0,0.0,20.0,1.998815495,5,5.0,0,0.0,2.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,0,0.999990623,7,5.2,0.0,7.0,20.0,2.998806118,5,5.0,0,0.0,2.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,0,0.999990623,8,5.2,0.0,1.0,20.0,3.998796741,5,5.0,0,0.0,2.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,0.0,5.2,-0.364523251,-0.998949753,-1.545822494,0.0,0.0,0,0.0,5.3,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,11,5.2,0.0,3.0,20.0,4.987261048,5,5.0,0,0.0,2.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-26,stuZbsj5kw,N,1.0,0.0,0,0,0,0,0,0.5,16.5,1.680667935,1.756871137,1.838995703,0.0,0.5,0,0.0,9.25,0.5,0.5,0,1.0,0.0,0,0,0,0.999899152,4,16.5,0.0,0.0,50.0,0.999899152,2,2.0,0,0.0,25.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-26,stuZbsj5kw,N,1.0,0.0,0,0,0,0,0,0.5,16.5,1.680667935,1.756871137,1.838995703,0.0,0.5,0,0.0,9.25,0.5,0.5,0,1.0,0.0,0,0,0,0.888286674,29,16.5,0.0,25.0,50.0,1.888185826,2,2.0,0,0.0,25.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-27,stuZkagkh6,N,1.0,0.0,0,0,0,0,0,0.0,9.0,-0.210558033,-1.152812621,-1.879696446,0.0,0.0,0,0.0,12.0,0.0,0.0,0,0.0,0.0,0,0,0,0.988464307,9,9.0,0.0,0.0,100.0,0.988464307,1,1.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-3,stuZ6n5zl1,N,1.0,0.0,0,0,0,0,0,1.0,15.0,-0.039648652,-0.785438503,-1.464871936,0.0,1.0,0,0.0,15.0,1.0,1.0,0,1.0,0.0,0,0,0,0.28609832,15,15.0,0.0,0.0,100.0,0.28609832,1,1.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,0,0.735153049,0,3.4,0.0,0.0,16.0,0.735153049,5,4.0,0,0.0,2.5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,0,0.735153049,1,3.4,0.0,1.0,16.0,1.470306098,5,4.0,0,0.0,2.5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,0,0.988464307,1,3.4,0.0,0.0,16.0,2.458770405,5,4.0,0,0.0,2.5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,0,0.888286674,5,3.4,0.0,4.0,16.0,3.347057079,5,4.0,0,0.0,2.5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0.0,0,0,0,0,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,0.0,10.61666667,0.6,0.6,0,0.0,0.0,0,0,0,0.96776108,10,3.4,0.0,5.0,16.0,4.314818159,5,4.0,0,0.0,2.5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-32,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,18.0,-0.482246078,-0.967846968,-1.94924533,0.0,0.0,0,0.0,18.0,0.0,0.0,0,2.0,0.0,0,0,0,0.888286674,18,18.0,0.0,0.0,100.0,0.888286674,1,1.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-33,stuZ5lp7k7,Y,0.0,0.0,0,0,0,0,0,1.0,0.0,-0.929410016,16.05929559,16.43133909,1.0,4.0,0,0.0,66.75,3.0,3.0,0,3.0,1.0,0,0,0,0.28609832,0,0.0,0.0,0.0,0.0,0.28609832,1,0.0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-34,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.0,13.4,0.58863137,-1.352401601,-1.687378407,0.0,0.0,0,0.0,9.233333333,0.0,0.0,0,0.4,0.0,0,0,0,0.988464307,0,13.4,0.0,0.0,20.0,0.988464307,5,5.0,0,0.0,14.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-34,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.0,13.4,0.58863137,-1.352401601,-1.687378407,0.0,0.0,0,0.0,9.233333333,0.0,0.0,0,0.4,0.0,0,0,0,0.988464307,0,13.4,0.0,0.0,20.0,1.976928614,5,5.0,0,0.0,14.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-34,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.0,13.4,0.58863137,-1.352401601,-1.687378407,0.0,0.0,0,0.0,9.233333333,0.0,0.0,0,0.4,0.0,0,0,0,0.888286674,3,13.4,0.0,3.0,20.0,2.865215288,5,5.0,0,0.0,14.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-34,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.0,13.4,0.58863137,-1.352401601,-1.687378407,0.0,0.0,0,0.0,9.233333333,0.0,0.0,0,0.4,0.0,0,0,0,0.988464307,5,13.4,0.0,2.0,20.0,3.853679595,5,5.0,0,0.0,14.75
